,bin,lat,lon,cluster,ОКЭД,Наименование основного вида деятельности,Наименование КРП,Юридическая форма,mean,count,sum
0,000140002415,76.907556,52.30741,89215910a13ffff,46751.0,Оптовая торговля химическими веществами и химическими продуктами,Малые предприятия (21-30),Юрлицо,17825.0,2.0,35650.0
1,000140006646,76.108334,53.064051,89215d30837ffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,5250.0,4.0,21000.0
2,000240005255,76.947477,52.259892,89215902663ffff,86210.0,Общая врачебная практика,Малые предприятия (31-40),Юрлицо,21745.93421052632,76.0,1652691.0
3,000240006987,76.964078,52.291009,8921590242fffff,86210.0,Общая врачебная практика,Малые предприятия (11-15),Юрлицо,2620.4210526315787,190.0,497880.0
4,000313551227,76.974714,52.289825,8921590254bffff,47241.0,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,338.3333333333333,9.0,3045.0
5,000340000733,76.957835,52.296759,892159024afffff,47789.0,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,18372.5625,16.0,293961.0
6,000340005833,75.319802,51.724403,89215801c17ffff,93110.0,Эксплуатация спортивных сооружений,Средние предприятия (101-150),Юрлицо,1573.125,40.0,62925.0
7,000440000975,76.951178,52.275583,892159026a7ffff,47641.0,"Розничная торговля спортивным оборудованием в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,,,
8,000440001110,76.940722,52.285577,89215902457ffff,46690.0,Оптовая торговля прочими машинами и оборудованием,Малые предприятия (31-40),Юрлицо,,,
9,000440005649,76.990758,52.277643,89215902023ffff,85599.0,"Прочая деятельность в области образования, не включенная в другие группировки",Малые предприятия (6 - 10),Юрлицо,,,
10,000441006533,76.939788,52.291483,89215902413ffff,47621.0,"Розничная торговля газетами, журналами и канцелярскими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (31-40),Филиал,,,
11,000523650623,76.967303,52.270265,89215902053ffff,96090.0,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",Малые предприятия (<= 5),ИП,4200.0,10.0,42000.0
12,000540004703,76.940785,52.28128,8921590244fffff,82912.0,"Деятельность агентств по сбору платежей и кредитных бюро, за исключением государственного",Средние предприятия (151-200),Юрлицо,3273.176304654443,2127.0,6962046.0
13,000640001504,76.942995,52.289907,89215902403ffff,69109.0,Прочая деятельность в области права,Малые предприятия (<= 5),Юрлицо,,,
14,000740001151,76.948349,52.282542,8921590247bffff,86230.0,Стоматологическая деятельность,Малые предприятия (11-15),Юрлицо,17032.25806451613,31.0,528000.0
15,000908550977,76.971292,52.292645,89215902553ffff,45321.0,"Розничная торговля автомобильными деталями, узлами и принадлежностями в торговых объектах с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,11656.862745098038,51.0,594500.0
16,000911550071,77.007054,52.297272,89215902197ffff,56210.0,Доставка готовой пищи на заказ,Малые предприятия (<= 5),ИП,4044.1666666666665,12.0,48530.0
17,000920650582,76.983437,52.279517,892159020abffff,47711.0,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,59629.51612903226,31.0,1848515.0
18,000940000110,76.965695,52.275539,892159020cfffff,86230.0,Стоматологическая деятельность,Малые предприятия (11-15),Юрлицо,28008.108108108107,37.0,1036300.0
19,000940000616,76.954421,52.286729,89215902477ffff,93110.0,Эксплуатация спортивных сооружений,Малые предприятия (21-30),Юрлицо,1835.9375,192.0,352500.0
20,001140003317,77.419201,52.907172,89214a791a3ffff,36000.0,"Сбор, обработка и распределение воды",Малые предприятия (21-30),Юрлицо,14474.29411764706,17.0,246063.0
21,001141000873,76.940722,52.285577,89215902457ffff,71209.0,"Деятельность прочих учреждений, осуществляющих технические испытания и анализы",Малые предприятия (51-100),Филиал,6489.468468468468,111.0,720331.0
22,001141001019,76.968291,52.287302,89215902097ffff,45113.0,Розничная торговля автомобилями и легкими автотранспортными средствами  в торговых объектах с торговой площадью более 2000 кв.м (2000 кв.м и выше),Малые предприятия (6 - 10),Филиал,,,
23,001205650171,76.926412,52.032383,8921590b343ffff,47211.0,"Розничная торговля фруктами и овощами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,821.5227272727273,44.0,36147.0
24,001217650464,77.425408,52.910213,89214a791a7ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,48290.0,15.0,724350.0
25,010140003990,76.959335,52.308583,89215910b77ffff,10612.0,Производство круп,Малые предприятия (21-30),Юрлицо,181850.0,1.0,181850.0
26,010140005471,76.959614,52.282057,8921590246fffff,86230.0,Стоматологическая деятельность,Малые предприятия (21-30),Юрлицо,15673.076923076924,52.0,815000.0
27,010240005554,75.288388,51.715258,89215801117ffff,47731.0,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (16-20),Юрлицо,840.2422736156351,1535.0,1289771.89
28,010440005819,76.967878,52.274299,892159020cfffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,1639.491935483871,124.0,203297.0
29,010528550606,75.319038,51.730701,89215801c87ffff,56101.0,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",Малые предприятия (<= 5),ИП,1161.3636363636365,11.0,12775.0
30,010530650574,75.459912,53.329359,89215d84b6fffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2450.673076923077,52.0,127435.0
31,010540006117,76.937569,52.300939,89215902497ffff,85322.0,Среднее специальное образование,Малые предприятия (21-30),Юрлицо,18000.0,2.0,36000.0
32,010617550987,75.458673,53.333037,89215d84b63ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2162.323943661972,142.0,307050.0
33,010626550202,75.319506,51.725608,89215801c17ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,289000.0,1.0,289000.0
34,010640001992,76.949256,52.263607,89215902677ffff,71209.0,"Деятельность прочих учреждений, осуществляющих технические испытания и анализы",Малые предприятия (<= 5),Юрлицо,,,
35,010640005023,76.995196,52.251496,8921590235bffff,36000.0,"Сбор, обработка и распределение воды",Крупные предприятия (501-1000),Юрлицо,16662.0,5.0,83310.0
36,010640005767,75.307962,51.725759,89215801cd7ffff,86210.0,Общая врачебная практика,Малые предприятия (6 - 10),Юрлицо,3546.6666666666665,42.0,148960.0
37,010640006874,76.964842,52.295393,892159025cbffff,86230.0,Стоматологическая деятельность,Малые предприятия (6 - 10),Юрлицо,16933.333333333332,6.0,101600.0
38,010716550707,76.926529,52.035985,8921590b357ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,489.0769230769231,39.0,19074.0
39,010740002230,77.033554,52.299799,89215902c9bffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (31-40),Юрлицо,406311.23125,32.0,13001959.4
40,010840002165,76.236155,52.901436,89215d21e87ffff,1131.0,Выращивание картофеля и посадочного материала,Средние предприятия (201-250),Юрлицо,95017.45454545454,11.0,1045192.0
41,010940003296,76.965498,52.282503,8921590209bffff,86230.0,Стоматологическая деятельность,Малые предприятия (11-15),Юрлицо,25775.0,24.0,618600.0
42,010940006687,76.938548,52.295581,8921590248bffff,58130.0,Издание газет,Малые предприятия (6 - 10),Юрлицо,52000.0,1.0,52000.0
43,011041006375,76.939437,52.284156,89215902443ffff,65122.0,Негосударственное страхование ущерба,Малые предприятия (<= 5),Филиал,10055.861111111111,108.0,1086033.0
44,011041008381,76.943246,52.297993,89215902487ffff,85599.0,"Прочая деятельность в области образования, не включенная в другие группировки",Малые предприятия (<= 5),Филиал,3216.0493827160494,81.0,260500.0
45,011140004119,76.97405,52.279186,89215902013ffff,71121.0,"Деятельность в области инженерно-технического проектирования, за исключением объектов атомной промышленности и атомной энергетики",Малые предприятия (<= 5),Юрлицо,7960.0,1.0,7960.0
46,011140006869,76.94189,52.286784,89215902457ffff,79110.0,Деятельность туристских агентств,Малые предприятия (<= 5),Юрлицо,13500.0,8.0,108000.0
47,011240000131,75.298503,51.74068,892158002afffff,10710.0,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения,Малые предприятия (21-30),Юрлицо,908149.7142857144,7.0,6357048.0
48,020218550652,75.336951,51.721245,89215801c2fffff,96090.0,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",Малые предприятия (<= 5),ИП,,,
49,020240000862,76.866764,52.384849,892159128abffff,33122.0,Ремонт и техническое обслуживание прочего оборудования общего назначения,Малые предприятия (11-15),Юрлицо,5619.5,4.0,22478.0
50,020240001914,76.970582,52.299546,892159025c7ffff,49311.0,Перевозки автобусами,Малые предприятия (51-100),Юрлицо,1488077.0,3.0,4464231.0
51,020240007324,76.966746,52.298659,892159025c3ffff,46737.0,Оптовая торговля санитарно-техническим оборудованием,Малые предприятия (6 - 10),Юрлицо,20771.25,4.0,83085.0
52,020240007780,76.931919,52.035237,8921590b373ffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,6220.0,10.0,62200.0
53,020240008134,75.31045,51.727098,89215801c8bffff,86230.0,Стоматологическая деятельность,Малые предприятия (6 - 10),Юрлицо,32500.0,2.0,65000.0
54,020327650423,76.968264,52.285522,89215902083ffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,91666.66666666669,3.0,275000.0
55,020340006082,76.939725,52.279352,8921590244bffff,18120.0,Прочие виды печатного производства,Малые предприятия (11-15),Юрлицо,23598.75,8.0,188790.0
56,020340006796,76.940722,52.285577,89215902457ffff,46733.0,"Оптовая торговля изделиями из бетона, цемента, гипса и аналогичных материалов",Малые предприятия (6 - 10),Юрлицо,10286.176470588236,34.0,349730.0
57,020340006815,75.318562,51.719175,89215801c0bffff,86230.0,Стоматологическая деятельность,Малые предприятия (16-20),Юрлицо,24172.41379310345,29.0,701000.0
58,020440003244,75.336178,51.747924,89215800333ffff,1420.0,Разведение прочего крупного рогатого скота и буйволов,Малые предприятия (<= 5),Юрлицо,8625000.0,2.0,17250000.0
59,020440007173,76.95426,52.260537,89215902667ffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,4635.714285714285,14.0,64900.0
60,020440007572,76.965498,52.282503,8921590209bffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,8251.0,10.0,82510.0
61,020540000952,76.969827,52.275351,8921590201bffff,68202.0,Аренда (субаренда) и эксплуатация арендуемой недвижимости,Малые предприятия (11-15),Юрлицо,1253.9597102761431,4418.0,5539994.0
62,020540003719,76.988863,52.277208,89215902023ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (51-100),Юрлицо,56323.10577754892,2913.0,164069207.13
63,020617650480,76.932152,52.031214,8921590b37bffff,10110.0,Переработка и консервирование мяса,Малые предприятия (<= 5),ИП,2928.823529411765,17.0,49790.0
64,020640005372,76.903119,52.089327,8921590a64bffff,82912.0,"Деятельность агентств по сбору платежей и кредитных бюро, за исключением государственного",Малые предприятия (6 - 10),Юрлицо,11533.333333333334,30.0,346000.0
65,020840005171,77.002005,52.287351,892159021c7ffff,68321.0,Управление недвижимостью за вознаграждение или на договорной основе,Малые предприятия (16-20),Юрлицо,,,
66,020840005220,76.964231,52.284211,8921590209bffff,86210.0,Общая врачебная практика,Малые предприятия (<= 5),Юрлицо,2005.6944444444443,72.0,144410.0
67,020940002241,76.983203,52.280481,892159020abffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (51-100),Юрлицо,110262.41076487252,706.0,77845262.0
68,020940004840,76.975675,52.291725,89215902543ffff,47789.0,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (11-15),Юрлицо,2774.705459770115,696.0,1931195.0
69,021040002834,77.01212,52.289356,89215902117ffff,47301.0,"Розничная торговля моторным топливом в специализированных магазинах, за исключением находящихся на придорожной полосе",Малые предприятия (21-30),Юрлицо,3905.5905511811034,127.0,496010.0
70,021040004955,76.967052,52.281847,8921590208bffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,9571.42857142857,7.0,67000.0
71,021128650028,76.938207,52.276167,89215902687ffff,55102.0,"Предоставление услуг гостиницами без ресторанов, за исключением гостиниц, находящихся на придорожной полосе",Малые предприятия (<= 5),ИП,26914.545454545456,55.0,1480300.0
72,021140001512,76.987264,52.292188,89215902563ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (6 - 10),Юрлицо,,,
73,021140006880,76.97131,52.261127,89215902287ffff,86230.0,Стоматологическая деятельность,Малые предприятия (16-20),Юрлицо,17412.5,88.0,1532300.0
74,021240002930,76.939428,52.293394,89215902413ffff,62012.0,Сопровождение программного обеспечения,Малые предприятия (<= 5),Юрлицо,,,
75,021240003831,76.939428,52.293394,89215902413ffff,47411.0,"Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (6 - 10),Юрлицо,72200.0,1.0,72200.0
76,021240005856,76.917716,52.030522,8921590b35bffff,85530.0,Деятельность школ подготовки водителей транспортных средств,Малые предприятия (<= 5),Юрлицо,16400.0,5.0,82000.0
77,030118550115,77.130725,52.320166,89215915aafffff,47771.0,"Розничная торговля часами и ювелирными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,83172.41379310345,58.0,4824000.0
78,030140000573,76.936428,52.267515,8921590261bffff,86103.0,Деятельность санаторно-курортных организаций,Малые предприятия (51-100),Юрлицо,,,
79,030140007694,76.945465,52.256369,8921590266bffff,47731.0,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,4131.379310344828,29.0,119810.0
80,030340007419,75.331309,51.716815,89215801c77ffff,86230.0,Стоматологическая деятельность,Малые предприятия (16-20),Юрлицо,19500.0,4.0,78000.0
81,030341006505,75.981016,53.00934,89215d31117ffff,71201.0,Деятельность санитарно-эпидемиологических организаций,Малые предприятия (<= 5),Филиал,,,
82,030440005377,76.98235,52.26558,8921590206bffff,86230.0,Стоматологическая деятельность,Малые предприятия (31-40),Юрлицо,10512.790697674418,172.0,1808200.0
83,030540007644,76.955814,52.292067,89215902433ffff,33142.0,Ремонт и техническое обслуживание электрораспределительной и регулирующей аппаратуры,Малые предприятия (<= 5),Юрлицо,,,
84,030540008167,75.326629,51.729692,89215801ca3ffff,86210.0,Общая врачебная практика,Малые предприятия (6 - 10),Юрлицо,3583.333333333333,12.0,43000.0
85,030541008320,75.310819,51.733044,89215801c97ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (<= 5),Филиал,23059.797297297297,74.0,1706425.0
86,030640007043,76.974184,52.28398,89215902087ffff,86230.0,Стоматологическая деятельность,Малые предприятия (<= 5),Юрлицо,6537.037037037037,27.0,176500.0
87,030840008613,76.940758,52.294721,8921590248fffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (6 - 10),Юрлицо,150.0,1.0,150.0
88,031040006794,76.962875,52.260212,89215902283ffff,47751.0,"Розничная торговля косметическими товарами и туалетными принадлежностями в специализированных магазинах,  являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,9000.0,1.0,9000.0
89,031140004975,77.130725,52.320166,89215915aafffff,47721.0,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (11-15),Юрлицо,2315.492957746479,142.0,328800.0
90,031240006628,76.950487,52.267934,8921590263bffff,86230.0,Стоматологическая деятельность,Малые предприятия (21-30),Юрлицо,10845.794392523365,107.0,1160500.0
91,040140004449,76.9077,52.30801,89215910a13ffff,46722.0,"Оптовая торговля чугуном, сталью и их литьем",Малые предприятия (21-30),Юрлицо,,,
92,040240001874,75.969248,53.007481,89215d311c7ffff,36000.0,"Сбор, обработка и распределение воды",Малые предприятия (51-100),Юрлицо,,,
93,040440011244,76.948654,52.298142,892159024bbffff,86900.0,Прочая деятельность в области здравоохранения ,Малые предприятия (51-100),Юрлицо,,,
94,040640009120,76.893839,52.339561,89215910c77ffff,47301.0,"Розничная торговля моторным топливом в специализированных магазинах, за исключением находящихся на придорожной полосе",Малые предприятия (51-100),Юрлицо,2847.0444015207627,14729.0,41934116.98999932
95,040640009217,76.988809,52.262857,892159023d3ffff,68321.0,Управление недвижимостью за вознаграждение или на договорной основе,Малые предприятия (16-20),Юрлицо,2443.2820512820517,39.0,95288.0
96,040740005072,76.95143,52.267978,8921590263bffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (6 - 10),Юрлицо,,,
97,040740012451,76.955904,52.279561,892159020d3ffff,47751.0,"Розничная торговля косметическими товарами и туалетными принадлежностями в специализированных магазинах,  являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (31-40),Юрлицо,136646.27214285714,70.0,9565239.05
98,040840003406,76.955904,52.279561,892159020d3ffff,10710.0,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения,Крупные предприятия (251-500),Юрлицо,3893.195204105082,13057.0,50833449.78000006
99,040841008511,75.286969,51.729117,89215800247ffff,47301.0,"Розничная торговля моторным топливом в специализированных магазинах, за исключением находящихся на придорожной полосе",Малые предприятия (11-15),Филиал,2957.6004507257453,1309.0,3871498.9900000007
100,040940004061,76.979269,52.271367,89215902073ffff,80200.0,Деятельность в области систем обеспечения безопасности,Малые предприятия (6 - 10),Юрлицо,46500.0,4.0,186000.0
101,041040004061,75.323126,51.725614,89215801c17ffff,93130.0,Деятельность фитнес-клубов,Малые предприятия (<= 5),Юрлицо,6909.6875,16.0,110555.0
102,041040010145,76.968875,52.295101,89215902553ffff,80101.0,Деятельность частных охранных служб,Малые предприятия (11-15),Юрлицо,,,
103,041041000321,76.968166,52.289026,89215902097ffff,73110.0,Деятельность рекламных агентств,Малые предприятия (6 - 10),Филиал,7719.4,10.0,77194.0
104,041140007012,76.997963,52.257698,892159023cfffff,77321.0,Аренда строительных машин и оборудования ,Малые предприятия (6 - 10),Юрлицо,,,
105,041240000988,76.985234,52.265867,8921590206bffff,46389.0,Оптовая торговля прочими продуктами питания,Крупные предприятия (>1000),Юрлицо,36183.08421709295,3206.0,116002968.0
106,050340001770,76.913413,52.320667,89215910843ffff,45112.0,Розничная торговля автомобилями и легкими автотранспортными средствами  в торговых объектах с торговой площадью менее 2000 кв.м,Средние предприятия (101-150),Юрлицо,606943.6338797815,183.0,111070685.0
107,050340003569,76.940722,52.285577,89215902457ffff,38110.0,Сбор неопасных отходов,Малые предприятия (31-40),Юрлицо,7500.0,2.0,15000.0
108,050340011887,77.130725,52.320166,89215915aafffff,68202.0,Аренда (субаренда) и эксплуатация арендуемой недвижимости,Малые предприятия (21-30),Юрлицо,,,
109,050340012062,75.305716,51.723801,89215801cd7ffff,79110.0,Деятельность туристских агентств,Малые предприятия (6 - 10),Юрлицо,270741.5714285714,7.0,1895191.0
110,050440008543,76.942222,52.269449,89215902617ffff,80200.0,Деятельность в области систем обеспечения безопасности,Малые предприятия (21-30),Юрлицо,20395.380952380958,42.0,856606.0
111,050540002304,76.931227,52.298186,8921590249bffff,68202.0,Аренда (субаренда) и эксплуатация арендуемой недвижимости,Малые предприятия (6 - 10),Юрлицо,3000.0,1.0,3000.0
112,050540004910,75.326971,51.720096,89215801c0fffff,81290.0,Прочая деятельность по уборке,Малые предприятия (<= 5),Юрлицо,,,
113,050540010836,76.945321,52.277296,892159026b3ffff,22220.0,Производство пластмассовых упаковок для товаров,Малые предприятия (11-15),Юрлицо,,,
114,050540013197,75.282046,51.741589,8921580028fffff,68321.0,Управление недвижимостью за вознаграждение или на договорной основе,Малые предприятия (<= 5),Юрлицо,5033.333333333333,15.0,75500.0
115,050640000307,76.942061,52.281892,8921590244fffff,94990.0,"Деятельность прочих общественных организаций, не включенных в другие группировки",Малые предприятия (6 - 10),Юрлицо,7926.315789473684,19.0,150600.0
116,050640002086,76.949274,52.284734,89215902473ffff,86210.0,Общая врачебная практика,Малые предприятия (<= 5),Юрлицо,5400.0,9.0,48600.0
117,050940004456,76.985099,52.267553,89215902063ffff,35303.0,Передача тепловой энергии,Крупные предприятия (251-500),Юрлицо,309909.4,5.0,1549547.0
118,051040003441,76.923142,43.336696,8920e6033a7ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (21-30),Юрлицо,60477.09428571429,21.0,1270018.98
119,051040007315,76.942222,52.269449,89215902617ffff,47999.0,Прочая розничная торговля вне магазинов,Малые предприятия (11-15),Юрлицо,4312.5,8.0,34500.0
120,051140002348,76.895393,52.319638,89215910e23ffff,86210.0,Общая врачебная практика,Крупные предприятия (501-1000),Юрлицо,14400.0,6.0,86400.0
121,051140011169,76.989537,52.280801,89215902037ffff,43298.0,"Прочие строительно-монтажные работы, не включенные в другие группировки",Малые предприятия (<= 5),Юрлицо,219200.0,1.0,219200.0
122,051140011357,76.96539,52.290128,8921590242fffff,47741.0,"Розничная торговля медицинскими и ортопедическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,,,
123,060164015697,76.802202,52.541614,8921598e023ffff,1131.0,Выращивание картофеля и посадочного материала,Малые предприятия (6 - 10),Совмест пред,,,
124,060240001947,76.998439,52.253536,8921590235bffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (21-30),Юрлицо,59166.66666666666,6.0,355000.0
125,060264018704,76.802597,52.543055,8921598e023ffff,1132.0,"Выращивание овощей, их семян и рассады",Малые предприятия (<= 5),Совмест пред,,,
126,060340005616,76.9903,52.274932,8921590202bffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Крупные предприятия (501-1000),Юрлицо,4259.2057543398005,86526.0,368532037.1000056
127,060340020075,76.95143,52.297299,892159024a3ffff,80101.0,Деятельность частных охранных служб,Малые предприятия (51-100),Юрлицо,6500.0,3.0,19500.0
128,060540013367,77.013261,52.293212,892159021bbffff,47731.0,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,1266.7517831669045,701.0,887993.0
129,060641000215,76.992663,52.279241,89215902037ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (6 - 10),Филиал,21534.46,150.0,3230169.0
130,060740005829,76.938449,52.305015,89215910b5bffff,17212.0,Производство бумажной и картонной тары,Средние предприятия (101-150),Юрлицо,90972.5,46.0,4184735.0
131,060740010449,76.984802,52.284194,892159020a3ffff,55101.0,"Предоставление услуг гостиницами с ресторанами, за исключением гостиниц, находящихся на придорожной полосе",Малые предприятия (<= 5),Юрлицо,69488.0,5.0,347440.0
132,060840010422,76.989141,52.268733,89215902067ffff,10130.0,Производство продуктов из мяса и мяса сельскохозяйственной птицы ,Малые предприятия (16-20),Юрлицо,7807.65,20.0,156153.0
133,060841006737,76.950487,52.267934,8921590263bffff,61109.0,Прочая проводная телекоммуникационная связь,Малые предприятия (41-50),Филиал,5774.727272727273,33.0,190566.0
134,060942006805,76.943246,52.297993,89215902487ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Средние предприятия (101-150),Филиал,42615.42582106455,883.0,37629421.0
135,061040008296,75.33501,51.727611,89215801c37ffff,80101.0,Деятельность частных охранных служб,Малые предприятия (51-100),Юрлицо,15282.0,10.0,152820.0
136,061040012076,76.958733,52.283902,89215902467ffff,46381.0,Оптовая торговля рыбой и рыбными продуктами,Малые предприятия (51-100),Юрлицо,6313.732954545455,9504.0,60005718.0
137,061041011965,76.998439,52.253536,8921590235bffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (<= 5),Филиал,150320.94444444444,27.0,4058665.5
138,061140011041,76.979269,52.271367,89215902073ffff,80200.0,Деятельность в области систем обеспечения безопасности,Малые предприятия (6 - 10),Юрлицо,24030.76923076923,13.0,312400.0
139,061140013966,76.98235,52.26558,8921590206bffff,80101.0,Деятельность частных охранных служб,Малые предприятия (16-20),Юрлицо,,,
140,061240000436,76.923304,52.037414,8921590b31bffff,41202.0,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2",Малые предприятия (<= 5),Юрлицо,,,
141,061240001345,76.925792,43.345036,8920e603163ffff,46908.0,"Специализированная оптовая торговля товарами, не включенными в другие группировки",Малые предприятия (11-15),Юрлицо,,,
142,061240003557,76.987246,52.271824,89215902077ffff,46740.0,"Оптовая торговля скобяными изделиями, водопроводным и отопительным оборудованием и  инвентарем",Малые предприятия (21-30),Юрлицо,43921.32167832168,143.0,6280749.0
143,061240005417,76.948942,52.281451,8921590247bffff,47731.0,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (16-20),Юрлицо,5515.070429403201,2748.0,15155413.539999995
144,061240006534,76.922855,43.347048,8920e603173ffff,46908.0,"Специализированная оптовая торговля товарами, не включенными в другие группировки",Малые предприятия (31-40),Юрлицо,18577.14285714286,35.0,650200.0
145,061240010067,76.943049,52.280051,8921590244fffff,47731.0,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,2489.008130081301,123.0,306148.0
146,061240011441,76.940111,52.263888,8921590260bffff,8930.0,Добыча соли,Малые предприятия (51-100),Юрлицо,28200.0,5.0,141000.0
147,070140010578,76.946426,52.287869,8921590240bffff,47421.0,"Розничная торговля телекоммуникационным оборудованием в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),Юрлицо,,,
148,070140011724,76.941126,52.27723,892159026b3ffff,79110.0,Деятельность туристских агентств,Малые предприятия (6 - 10),Юрлицо,594360.8,5.0,2971804.0
149,070141010731,76.945483,52.29715,892159024bbffff,46461.0,"Оптовая торговля фармацевтическими товарами, кроме торговли медицинской техникой и ортопедическими  изделиями",Малые предприятия (51-100),Филиал,15007.727923627685,1257.0,18864714.0
150,070240001552,76.991558,52.278624,89215902023ffff,46909.0,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,Малые предприятия (<= 5),Юрлицо,13594.5,4.0,54378.0
