,bin,lat,lon,cluster,ОКЭД,Наименование основного вида деятельности,Наименование КРП,Юридическая форма,mean,count,sum
5604,730529450447,76.951664,52.296809,892159024abffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,2900.0,4.0,11600.0
5605,730608450179,76.968264,52.285522,89215902083ffff,47892.0,Розничная торговля прочими товарами на рынках,Малые предприятия (<= 5),ИП,8583.333333333334,6.0,51500.0
5606,730613450166,76.940722,52.285577,89215902457ffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (6 - 10),ИП,,,
5607,730618400127,76.969217,52.298026,892159025cfffff,47511.0,"Розничная торговля текстильными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,3846.6666666666665,15.0,57700.0
5608,730626450533,76.968264,52.285522,89215902083ffff,45321.0,"Розничная торговля автомобильными деталями, узлами и принадлежностями в торговых объектах с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,5388.888888888889,45.0,242500.0
5609,730627450053,76.974714,52.289825,8921590254bffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,539.925,40.0,21597.0
5610,730714350199,76.952113,52.291626,89215902407ffff,47291.0,"Прочая розничная торговля продуктами питания в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,2968.133333333333,15.0,44522.0
5611,730717400323,76.941845,52.282261,8921590244fffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,18072.222222222223,27.0,487950.0
5612,730721350246,76.967995,52.299012,892159025c3ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,18000.0,2.0,36000.0
5613,730724400470,76.951834,52.294127,892159024abffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,12389.625,56.0,693819.0
5614,730730450043,76.965776,52.284823,89215902093ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,34583.333333333336,6.0,207500.0
5615,730919450148,76.926493,52.308621,89215910a33ffff,56299.0,"Прочая деятельность по обеспечению питанием, не включенная в другие группировки",Малые предприятия (<= 5),ИП,1291.9512195121952,82.0,105940.0
5616,731103400427,76.943282,52.280454,8921590244fffff,56101.0,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",Малые предприятия (16-20),ИП,5435.155477031803,283.0,1538149.0
5617,731105400339,76.969217,52.298026,892159025cfffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2936.753424657534,146.0,428766.0
5618,731108450173,76.973511,52.284856,89215902087ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,1870.1493212669684,221.0,413303.0
5619,731112450284,76.95143,52.267978,8921590263bffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,835.0,8.0,6680.0
5620,731113400818,76.968264,52.285522,89215902083ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,8511.111111111111,9.0,76600.0
5621,731115400244,76.952032,52.292309,89215902407ffff,47711.0,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,4236.363636363636,22.0,93200.0
5622,731123350387,76.970196,52.289803,8921590255bffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (<= 5),ИП,45100.0,5.0,225500.0
5623,731125450453,76.994971,52.264291,892159023d7ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,908.196261682243,107.0,97177.0
5624,731205402468,76.988953,52.242062,892159004d7ffff,93190.0,Прочая деятельность в области спорта,Малые предприятия (<= 5),ИП,1044.7761194029852,67.0,70000.0
5625,731216450041,76.937129,52.29487,8921590248bffff,47761.0,"Розничная торговля цветами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (11-15),ИП,9778.57142857143,161.0,1574350.0
5626,731230450028,76.97855,52.276635,89215902003ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,1039.487870619946,371.0,385650.0
5627,740105450067,76.940722,52.285577,89215902457ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2083.060975609756,410.0,854055.0
5628,740204350118,76.960323,52.280652,8921590246fffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (6 - 10),ИП,108953.33333333331,12.0,1307440.0
5629,740204402045,76.981658,52.296175,8921590250bffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,746.1111111111111,18.0,13430.0
5630,740204450114,76.941477,52.288684,8921590241bffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,3275.0,8.0,26200.0
5631,740210400170,76.952032,52.292309,89215902407ffff,47241.0,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,26430.5875,80.0,2114447.0
5632,740303401154,76.940722,52.285577,89215902457ffff,47789.0,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,18846.666666666668,45.0,848100.0
5633,740305450232,76.968148,52.270177,89215902053ffff,46389.0,Оптовая торговля прочими продуктами питания,Малые предприятия (<= 5),ИП,2515.509433962264,53.0,133322.0
5634,740316400147,76.958985,52.291499,89215902423ffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,3427.2727272727275,11.0,37700.0
5635,740411450358,76.969504,52.300053,892159025c7ffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,12285.714285714286,7.0,86000.0
5636,740424450418,76.970582,52.299546,892159025c7ffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,1156.132075471698,106.0,122550.0
5637,740503300296,76.964626,52.26779,8921590205bffff,31090.0,Производство прочей мебели,Малые предприятия (<= 5),ИП,180000.0,1.0,180000.0
5638,740520400582,76.95249,52.298032,892159024a3ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2922.682926829268,41.0,119830.0
5639,740602350161,76.907287,52.328335,892159108c7ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2339.156862745098,51.0,119297.0
5640,740612400473,76.937901,52.297161,89215902483ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,524.6580310880829,193.0,101259.0
5641,740614400385,76.97042,52.264373,8921590204bffff,47721.0,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,8250.0,2.0,16500.0
5642,740705350313,76.970618,52.312129,89215910b2fffff,10411.0,Производство неочищенных масел и жиров,Малые предприятия (16-20),ИП,404870.0,13.0,5263310.0
