,cluster,bin
261,89215382267ffff,41
262,8921538226bffff,36
263,8921538226fffff,9
264,89215382273ffff,1
265,8921538227bffff,6
266,89215382287ffff,2
267,8921538228bffff,5
268,8921538228fffff,44
269,89215382297ffff,1
270,8921538229bffff,1
271,892153822a3ffff,2
272,892153822a7ffff,6
273,892153822abffff,3
274,892153822afffff,2
275,892153822b7ffff,42
276,892153822c3ffff,2
277,892153822c7ffff,10
278,892153822cbffff,4
279,892153822cfffff,3
280,892153822d7ffff,15
281,89215382307ffff,4
282,89215382313ffff,1
283,8921538231bffff,10
284,89215382323ffff,1
285,8921538232fffff,1
286,89215382333ffff,2
287,89215382337ffff,8
288,89215382343ffff,14
289,89215382347ffff,5
290,8921538234bffff,18
291,8921538234fffff,21
292,89215382353ffff,3
293,89215382357ffff,5
294,8921538235bffff,219
295,89215382383ffff,1
296,8921538238bffff,1
297,8921538238fffff,1
298,89215382393ffff,4
299,89215382397ffff,3
300,8921538239bffff,10
301,892153823a3ffff,2
302,892153823a7ffff,2
303,892153823abffff,5
304,892153823afffff,1
305,892153823b7ffff,1
306,892153823c3ffff,13
307,892153823c7ffff,2
308,892153823cbffff,3
309,892153823cfffff,38
310,892153823d3ffff,8
311,892153823d7ffff,4
312,892153823dbffff,16
313,89215382407ffff,1
314,89215382427ffff,3
315,89215382433ffff,6
316,89215382437ffff,18
317,8921538243bffff,2
318,8921538244bffff,7
319,89215382453ffff,2
320,89215382457ffff,1
321,8921538245bffff,3
322,89215382487ffff,3
323,89215382497ffff,2
324,8921538249bffff,2
325,892153824a3ffff,14
326,892153824afffff,11
327,892153824b7ffff,3
328,892153824bbffff,4
329,892153824cfffff,1
330,89215382503ffff,18
331,89215382507ffff,24
332,8921538250bffff,15
333,8921538250fffff,22
334,89215382513ffff,12
335,89215382517ffff,24
336,8921538251bffff,22
337,89215382523ffff,28
338,89215382527ffff,13
339,8921538252bffff,23
340,8921538252fffff,18
341,89215382533ffff,25
342,89215382537ffff,14
343,8921538253bffff,25
344,89215382543ffff,19
345,89215382547ffff,31
346,8921538254bffff,2
347,8921538254fffff,15
348,89215382553ffff,52
349,89215382557ffff,30
350,8921538255bffff,5
351,89215382563ffff,3
352,89215382567ffff,13
353,8921538256bffff,18
354,8921538256fffff,23
355,89215382573ffff,58
356,89215382577ffff,50
357,8921538257bffff,9
358,89215382583ffff,8
359,89215382587ffff,21
360,8921538258bffff,6
361,8921538258fffff,33
362,89215382593ffff,4
363,89215382597ffff,3
364,8921538259bffff,7
365,892153825a3ffff,19
366,892153825a7ffff,12
367,892153825abffff,10
368,892153825afffff,23
369,892153825b3ffff,9
370,892153825b7ffff,23
371,892153825bbffff,13
372,892153825c3ffff,1
373,892153825c7ffff,11
374,892153825cbffff,17
375,892153825cfffff,9
376,892153825d3ffff,47
377,892153825d7ffff,3
378,892153825dbffff,6
379,89215382607ffff,1
380,8921538260bffff,2
381,89215382613ffff,4
382,89215382617ffff,4
383,8921538261bffff,5
384,89215382623ffff,10
385,89215382627ffff,3
386,8921538262bffff,2
387,89215382633ffff,5
388,8921538263bffff,13
389,89215382643ffff,11
390,89215382647ffff,2
391,8921538264bffff,10
392,8921538264fffff,9
393,89215382653ffff,3
394,89215382657ffff,1
395,8921538265bffff,9
396,89215382663ffff,6
397,8921538266bffff,10
398,8921538266fffff,4
399,89215382677ffff,4
400,8921538267bffff,6
401,89215382683ffff,1
402,8921538268bffff,3
403,89215382697ffff,1
404,8921538269bffff,2
405,892153826a3ffff,3
406,892153826a7ffff,2
407,892153826abffff,4
408,892153826afffff,8
409,892153826cfffff,2
410,89215382803ffff,3
411,8921538280bffff,11
412,8921538280fffff,1
413,8921538281bffff,8
414,89215382827ffff,1
415,89215382843ffff,8
416,89215382847ffff,17
417,8921538284bffff,7
418,8921538284fffff,7
419,89215382853ffff,5
420,89215382857ffff,15
421,8921538285bffff,3
422,89215382863ffff,3
423,89215382867ffff,4
424,8921538286bffff,2
425,89215382873ffff,14
426,8921538287bffff,1
427,89215382887ffff,1
428,8921538288bffff,1
429,892153828a3ffff,2
430,892153828c3ffff,10
431,892153828c7ffff,6
432,892153828cbffff,8
433,892153828cfffff,7
434,892153828d3ffff,1
435,892153828d7ffff,3
436,892153828dbffff,32
437,8921538291bffff,1
438,8921538294fffff,1
439,8921538298bffff,1
440,892153829c3ffff,1
441,892153829cbffff,2
442,892153829cfffff,1
443,89215382a03ffff,1
444,89215382a07ffff,2
445,89215382a0bffff,1
446,89215382a0fffff,2
447,89215382a13ffff,1
448,89215382a17ffff,4
449,89215382a1bffff,6
450,89215382a23ffff,1
451,89215382a2bffff,3
452,89215382a2fffff,2
453,89215382a33ffff,4
454,89215382a37ffff,3
455,89215382a3bffff,3
456,89215382a43ffff,1
457,89215382a47ffff,8
458,89215382a4bffff,5
459,89215382a4fffff,2
460,89215382a53ffff,2
461,89215382a57ffff,5
462,89215382a5bffff,1
463,89215382a67ffff,1
464,89215382a6bffff,2
465,89215382a6fffff,2
466,89215382a73ffff,1
467,89215382a7bffff,5
468,89215382a83ffff,4
469,89215382a87ffff,2
470,89215382a8bffff,2
471,89215382a93ffff,1
472,89215382a9bffff,2
473,89215382aa3ffff,4
474,89215382aa7ffff,2
475,89215382aabffff,4
476,89215382aafffff,1
477,89215382ab7ffff,2
478,89215382ac3ffff,4
479,89215382ac7ffff,7
480,89215382acbffff,2
481,89215382acfffff,2
482,89215382ad3ffff,1
483,89215382ad7ffff,3
484,89215382adbffff,2
485,89215382b13ffff,3
486,89215382b1bffff,3
487,89215382b27ffff,1
488,89215382b2fffff,1
489,89215382b43ffff,6
490,89215382b4fffff,5
491,89215382b53ffff,1
492,89215382b57ffff,1
493,89215382b5bffff,3
494,89215382b6fffff,3
495,89215382b8bffff,1
496,89215382bc3ffff,7
497,89215382bcbffff,2
498,89215382bcfffff,1
499,89215382bd3ffff,4
500,89215382bd7ffff,3
501,89215382bdbffff,3
502,89215382c07ffff,1
503,89215382c0bffff,12
504,89215382c0fffff,2
505,89215382c17ffff,8
506,89215382c1bffff,3
507,89215382c2bffff,1
508,89215382c37ffff,1
509,89215382c3bffff,6
510,89215382c43ffff,10
511,89215382c47ffff,6
512,89215382c4bffff,8
513,89215382c4fffff,1
514,89215382c53ffff,10
515,89215382c57ffff,17
516,89215382c5bffff,3
517,89215382c67ffff,2
518,89215382c6bffff,2
519,89215382c6fffff,1
520,89215382c7bffff,1
521,89215382c83ffff,4
522,89215382c87ffff,12
523,89215382c8bffff,4
524,89215382c8fffff,3
525,89215382c93ffff,7
526,89215382c97ffff,2
527,89215382c9bffff,1
528,89215382ca3ffff,10
529,89215382cabffff,2
530,89215382cafffff,1
531,89215382cbbffff,2
532,89215382cc3ffff,20
533,89215382cc7ffff,3
534,89215382ccbffff,11
535,89215382ccfffff,10
536,89215382cd3ffff,6
537,89215382cd7ffff,8
538,89215382cdbffff,10
539,89215382d0fffff,1
540,89215382d8bffff,2
541,89215382d97ffff,1
542,89215382d9bffff,3
543,89215382dc3ffff,5
544,89215382dcbffff,1
545,89215382dd3ffff,1
546,89215382dd7ffff,4
547,89215382ddbffff,15
548,89215382e03ffff,159
549,89215382e07ffff,25
550,89215382e0bffff,30
551,89215382e0fffff,22
552,89215382e13ffff,18
553,89215382e17ffff,14
554,89215382e1bffff,35
555,89215382e27ffff,3
556,89215382e2bffff,10
557,89215382e2fffff,26
558,89215382e33ffff,29
559,89215382e37ffff,13
560,89215382e3bffff,25
561,89215382e43ffff,11
562,89215382e47ffff,26
563,89215382e4bffff,28
564,89215382e4fffff,52
565,89215382e53ffff,19
566,89215382e57ffff,22
567,89215382e5bffff,15
568,89215382e63ffff,24
569,89215382e67ffff,2
570,89215382e6fffff,5
571,89215382e73ffff,5
572,89215382e77ffff,3
573,89215382e7bffff,33
574,89215382e83ffff,1
