,cluster,sum
197,89215382103ffff,74038529.06
198,89215382107ffff,186716610.7
199,8921538210bffff,99529699.21999995
200,8921538210fffff,45176278.0
201,89215382113ffff,249066889.86
202,89215382117ffff,22336430.2
203,8921538211bffff,73278210.6
204,89215382123ffff,98085.0
205,89215382127ffff,1141171.0
206,8921538212bffff,34774904.010000005
207,8921538212fffff,302406667.0
208,89215382133ffff,2359437.0
209,89215382137ffff,18521918.0
210,8921538213bffff,30666083.0
211,89215382143ffff,13188550.0
212,89215382147ffff,6572027.0
213,8921538214fffff,10151639.08
214,89215382153ffff,44885984.5
215,89215382157ffff,11484612.0
216,8921538215bffff,1037505.0
217,89215382163ffff,3188513.5
218,89215382167ffff,17468382.380000003
219,8921538216bffff,132326164.33998872
220,8921538216fffff,150800.0
221,89215382173ffff,7570473.0
222,89215382177ffff,33787566.379999995
223,8921538217bffff,16626880.62
224,89215382183ffff,59417064.33999997
225,89215382187ffff,22721476.1
226,8921538218bffff,23926901.160000004
227,8921538218fffff,134108581.46000001
228,89215382193ffff,30859323.0
229,89215382197ffff,39555772.39
230,8921538219bffff,125345428.0
231,892153821a3ffff,175399892.0
232,892153821a7ffff,483407872.9
233,892153821abffff,40382305.46
234,892153821afffff,11335598.0
235,892153821b3ffff,4389197.0
236,892153821b7ffff,102938.0
237,892153821bbffff,194279902.0
238,892153821c3ffff,1328862815.98
239,892153821c7ffff,31630456.490000073
240,892153821cbffff,69994501.0
241,892153821cfffff,22405438.0
242,892153821d3ffff,22782599.99
243,892153821d7ffff,3290230813.0
244,89215382203ffff,43115878.0
245,89215382207ffff,338660080.7
246,8921538220fffff,219980601.67
247,89215382213ffff,3738425.0
248,89215382223ffff,59625509.54
249,89215382227ffff,206982732.48000002
250,8921538222bffff,4144258.8
251,8921538222fffff,1548574975.87
252,89215382233ffff,76527679.99999967
253,89215382237ffff,12074856.0
254,89215382243ffff,161486727.0
255,8921538224bffff,372271797.6200045
256,8921538224fffff,481730.0
257,89215382253ffff,1751529.0
258,89215382257ffff,2248749.0
259,8921538225bffff,2118562.0
260,89215382263ffff,7906771.0
261,89215382267ffff,315574831.0
262,8921538226bffff,555976884.9
263,8921538226fffff,23386828.3
264,89215382273ffff,9665640.0
265,8921538227bffff,954869145.0
266,89215382287ffff,1385526.0
267,8921538228bffff,11859618.32
268,8921538228fffff,381622715.1
269,89215382297ffff,1003410.58
270,8921538229bffff,167075.0
271,892153822a3ffff,695528.0
272,892153822a7ffff,18977370.0
273,892153822abffff,1116691.0
274,892153822afffff,14951109.849999994
275,892153822b7ffff,72727858.35
276,892153822c3ffff,30000.0
277,892153822c7ffff,2472649087.0
278,892153822cbffff,472077.0
279,892153822cfffff,1490540.0
280,892153822d7ffff,27741110.0
281,89215382307ffff,56769556.79999999
282,89215382313ffff,33000000.0
283,8921538231bffff,14372455.7
284,89215382323ffff,890500.0
285,8921538232fffff,68550.0
286,89215382333ffff,1792689.0
287,89215382337ffff,5913955.0
288,89215382343ffff,21570997.5
289,89215382347ffff,3355465.0
290,8921538234bffff,2079883616.0
291,8921538234fffff,34942201.480000004
292,89215382353ffff,249440.0
293,89215382357ffff,13168831.0
294,8921538235bffff,1201875779.27
295,89215382383ffff,336000.0
296,8921538238bffff,1640224.0
297,8921538238fffff,2709806.0
298,89215382393ffff,19459480.0
299,89215382397ffff,1225998.0
300,8921538239bffff,14307947.0
301,892153823a3ffff,33163480.0
302,892153823a7ffff,55425.0
303,892153823abffff,10498339.600000001
304,892153823afffff,78000.0
305,892153823b7ffff,2903501.0
306,892153823c3ffff,12667721.0
307,892153823c7ffff,1551659.0
308,892153823cbffff,27799908.0
309,892153823cfffff,963532727.85
310,892153823d3ffff,6922523.0
311,892153823d7ffff,4526114.2
312,892153823dbffff,33685673.0
313,89215382407ffff,52000.0
314,89215382427ffff,88647413.0
315,89215382433ffff,5464853.0
316,89215382437ffff,5877160.0
317,8921538243bffff,668791.0
318,8921538244bffff,1268910.0
319,89215382453ffff,332926.0
320,89215382457ffff,65521558.0
321,8921538245bffff,819681.0
322,89215382487ffff,23877274.0
323,89215382497ffff,1493699.0
324,8921538249bffff,570156.0
325,892153824a3ffff,12225555.4
326,892153824afffff,61974324.0
327,892153824b7ffff,1293060.0
328,892153824bbffff,26534813.0
329,892153824cfffff,31460.0
330,89215382503ffff,20908507.0
331,89215382507ffff,18392262.0
332,8921538250bffff,14813079.11999999
333,8921538250fffff,37110652.5
334,89215382513ffff,4679887.0
335,89215382517ffff,40195598.0
336,8921538251bffff,75437414.17000002
337,89215382523ffff,49275256.26
338,89215382527ffff,11946282.0
339,8921538252bffff,19390145.240000002
340,8921538252fffff,429865673.03
341,89215382533ffff,56030763.4
342,89215382537ffff,291348054.60999984
343,8921538253bffff,51210287.57000013
344,89215382543ffff,13695888.0
345,89215382547ffff,41413598.0
346,8921538254bffff,742550.0
347,8921538254fffff,27265818.8
348,89215382553ffff,68238876.6
349,89215382557ffff,63939183.0
350,8921538255bffff,1370794.0
351,89215382563ffff,1949196.0
352,89215382567ffff,47327775.99
353,8921538256bffff,38355004.0
354,8921538256fffff,30360461.260000005
355,89215382573ffff,122059316.64
356,89215382577ffff,40328407.02
357,8921538257bffff,4750294.0
358,89215382583ffff,2137598.0
359,89215382587ffff,9630656.870000001
360,8921538258bffff,21830105.0
361,8921538258fffff,75111217.08
362,89215382593ffff,2462625.0
363,89215382597ffff,4284240.0
364,8921538259bffff,2709995.0
365,892153825a3ffff,36824062.0
366,892153825a7ffff,34218142.0
367,892153825abffff,1962076.0
368,892153825afffff,23136325.0
369,892153825b3ffff,9079751.71
370,892153825b7ffff,20869606.3
371,892153825bbffff,40577166.0
372,892153825c3ffff,0.0
373,892153825c7ffff,357863861.40000033
374,892153825cbffff,23418892.59999999
375,892153825cfffff,10327483.15
376,892153825d3ffff,23299595.759999998
377,892153825d7ffff,288754.0
378,892153825dbffff,5858608.0
379,89215382607ffff,305639.0
380,8921538260bffff,762900.0
381,89215382613ffff,5359397.0
382,89215382617ffff,2075037.0
383,8921538261bffff,95447158.0
384,89215382623ffff,12881636.170000002
385,89215382627ffff,494800.0
386,8921538262bffff,1266272.0
387,89215382633ffff,1967636.74
388,8921538263bffff,18314681.259999998
389,89215382643ffff,9058607.0
390,89215382647ffff,256760.0
391,8921538264bffff,42416688.0
392,8921538264fffff,5701200.0
393,89215382653ffff,5199370.0
394,89215382657ffff,482644.0
395,8921538265bffff,23214313.000000022
396,89215382663ffff,16364251.59
397,8921538266bffff,10521163.0
398,8921538266fffff,3047578.0
399,89215382677ffff,2529469.0
400,8921538267bffff,8078896.0
401,89215382683ffff,723166.0
402,8921538268bffff,2202337.01
403,89215382697ffff,919399.0
404,8921538269bffff,4822730.0
405,892153826a3ffff,1412403.0
406,892153826a7ffff,2381592.0
407,892153826abffff,2177039.9400000013
408,892153826afffff,5927976.5
409,892153826cfffff,2583997.0
410,89215382803ffff,592540.0
411,8921538280bffff,84380830.5
412,8921538280fffff,1427564.0
413,8921538281bffff,8605543.4
414,89215382827ffff,0.0
415,89215382843ffff,4948381.0
416,89215382847ffff,133773697.0
417,8921538284bffff,6073974.0
418,8921538284fffff,4502121.0
419,89215382853ffff,3104436.0
420,89215382857ffff,148229030.17000002
421,8921538285bffff,4343650.0
422,89215382863ffff,1575745.0
423,89215382867ffff,25652550.0
424,8921538286bffff,1072600.0
425,89215382873ffff,10890590.97
426,8921538287bffff,52100.0
427,89215382887ffff,17004812.0
428,8921538288bffff,7300.0
429,892153828a3ffff,583063180.0
430,892153828c3ffff,18310928.0
431,892153828c7ffff,7013946.0
432,892153828cbffff,5308801.0
433,892153828cfffff,1769595.0
434,892153828d3ffff,0.0
435,892153828d7ffff,398223.0
436,892153828dbffff,81391255.0
437,8921538291bffff,1077706.0
438,8921538294fffff,170300.0
439,8921538298bffff,1325795.0
440,892153829c3ffff,50989.0
441,892153829cbffff,996110.0
442,892153829cfffff,66700.0
443,89215382a03ffff,112680.0
444,89215382a07ffff,28122975.0
445,89215382a0bffff,7200.0
446,89215382a0fffff,189800.0
447,89215382a13ffff,178000.0
448,89215382a17ffff,2250338.0
449,89215382a1bffff,15940770.0
450,89215382a23ffff,152141.0
451,89215382a2bffff,206950.0
452,89215382a2fffff,2504263.0
453,89215382a33ffff,1194945.0
454,89215382a37ffff,837257.22
455,89215382a3bffff,106100.0
456,89215382a43ffff,0.0
457,89215382a47ffff,2817785.83
458,89215382a4bffff,522403.0
459,89215382a4fffff,2602629.0
460,89215382a53ffff,1610586.0
461,89215382a57ffff,81297704.2
462,89215382a5bffff,456479.0
463,89215382a67ffff,112605.0
464,89215382a6bffff,211075.0
465,89215382a6fffff,1867325.0
466,89215382a73ffff,1120650.0
